object,split,label,image,mask
pcb1,train,normal,pcb1/Data/Images/Normal/0499.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0165.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0650.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0154.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0713.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0083.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0067.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0341.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0524.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0141.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0656.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0736.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0576.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0885.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0941.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0594.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0712.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0234.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0074.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0538.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0327.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0090.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0693.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0502.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0466.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0809.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0778.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0298.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0928.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0121.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0863.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0521.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0934.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0388.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0644.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0508.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0492.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0931.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0130.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0268.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0190.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0018.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0522.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0956.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0799.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0134.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0001.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0819.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0673.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0537.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0262.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0887.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0636.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0186.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0567.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0726.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0579.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0007.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0255.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0977.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0828.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0494.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0571.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0716.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0091.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0101.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0954.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0108.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0404.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0104.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0042.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0146.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0454.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0603.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0929.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0531.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0292.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0854.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0745.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0945.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0546.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0425.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0253.JPG,
pcb1,train,normal,pcb1/Data/Images/Normal/0878.JPG,
